"CODUSU";"NRO_HOGAR";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"PONDIH";"DECCF_R";"DECIF_R";"REALIZADA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"IPCF"
"TQRMNOUPVHMKKPCDEGJBF00022703";1;2004;2;43;"S";13;662;782;"00";"00";1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;2;0;2;0;0
"TQRMNOUWQHMKKPCDEGJBF00022704";2;2004;2;43;"S";13;662;983;"8";"7";1;1;1;3;1;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;960;480
"TQRMNOPUTHMKKPCDEGJBF00022700";2;2004;2;43;"S";13;662;847;"4";"4";1;2;2;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;0;3;600;200
"TQRMNOTTQHMKKPCDEGJBF00022702";2;2004;2;43;"S";13;662;768;"8";"7";1;3;3;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;1000;500
"TQRMNOQYRHLNMMCDEGJBF00015849";1;2004;2;43;"S";13;688;784;"2";"1";1;2;1;6;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;120;120
"TQRMNOSWWHLNMMCDEGJBF00015850";1;2004;2;43;"S";13;688;799;"8";"8";1;4;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1500;500
"TQRMNOQRQHLNMMCDEGJBF00015848";1;2004;2;43;"S";13;688;0;"12";"12";1;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;0;0
"TQRMNOUUUHLNMMCDEGJBF00146681";1;2004;2;43;"S";13;688;0;"12";"12";1;2;1;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;0;0
"TQRMNOWSQHLNMMCDEGJBF00015854";1;2004;2;43;"S";13;688;907;"6";"4";1;3;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;600;300
"TQRMNOSPRHLNMMCDEGJBF00146680";1;2004;2;43;"S";13;688;957;"5";"7";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;4;1;3;1050;262.5
"TQRMNOVQSHLNMMCDEGJBF00015853";1;2004;2;43;"S";13;688;944;"8";"10";1;5;3;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;4;2;2;2260;565
"TQRMNOTXXHLNMMCDEGJBF00015852";1;2004;2;43;"S";13;688;1091;"1";"3";1;3;3;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;12;4;8;430;35.83
"TQRMNOPVRHLKKOCDEGJBF00015709";1;2004;2;43;"S";13;431;494;"6";"2";1;1;1;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;300;300
"TQRMNOPSSHLKKOCDEGJBF00146656";1;2004;2;43;"S";13;431;0;"12";"12";1;1;1;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;0;2;0;0
"TQRMNORPXHLKKOCDEGJBF00146657";1;2004;2;43;"S";13;431;0;"12";"12";1;3;2;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;0;0
"TQRMNOQURHLKKOCDEGJBF00015711";2;2004;2;43;"S";13;431;0;"12";"12";1;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;0;2;0;0
"TQRMNOQXPHLKKOCDEGJBF00015712";1;2004;2;43;"S";13;431;0;"12";"12";1;3;1;3;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;0;0
"TQRMNORXUHLKKOCDEGJBF00146658";1;2004;2;43;"S";13;431;0;"12";"12";1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;0;0
"TQRMNOQQYHLKKOCDEGJBF00015710";1;2004;2;43;"S";13;431;0;"12";"12";1;7;5;6;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2;2;2;2;5;0;5;0;0
"TQRMNOVPTHMKKPCDEGJBF00146689";2;2004;2;43;"S";13;662;983;"10";"10";1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;2950;1475
"TQRMNOPRQHJMKSCDEGJBF00146486";1;2004;2;43;"S";13;431;0;"12";"12";1;3;2;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;3;1;2;0;0
"TQRMNOPUVHJMKSCDEGJBF00146487";1;2004;2;43;"S";13;431;601;"4";"6";1;3;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;898;179.6
"TQRMNOPYQHJMKSCDEGJBF00146488";1;2004;2;43;"S";13;431;601;"3";"4";1;3;2;3;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;4;0;4;520;130
"TQRMNOQRWHJMKSCDEGJBF00146489";1;2004;2;43;"S";13;431;586;"10";"10";1;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;2900;966.67
"TQRMNORSRHJMKSCDEGJBF00146490";1;2004;2;43;"S";13;431;0;"12";"12";1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;0;0
"TQRMNORVUHJMKSCDEGJBF00146491";1;2004;2;43;"S";13;431;0;"12";"12";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;0
"TQRMNOSSUHJMKSCDEGJBF00146492";1;2004;2;43;"S";13;431;508;"10";"7";1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;2;1;0;1;1160;1160
"TQRMNOSSYHLOKRCDEGJBF00015874";2;2004;2;43;"S";13;470;510;"2";"3";1;2;2;3;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;4;1;3;450;112.5
"TQRMNOPSUHLOKRCDEGJBF00015864";1;2004;2;43;"S";13;470;853;"2";"7";1;3;3;2;4;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;1;8;1035;115
"TQRMNOPVYHLOKRCDEGJBF00015865";1;2004;2;43;"S";13;470;0;"12";"12";1;3;2;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;1;5;0;0
"TQRMNOPYYHLOKRCDEGJBF00015866";1;2004;2;43;"S";13;470;525;"4";"6";1;4;3;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;2;3;900;180
"TQRMNOSWWHLOKRCDEGJBF00015875";1;2004;2;43;"S";13;470;427;"2";"4";1;1;1;6;2;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;6;4;2;575;95.83
"TQRMNOQUYHLOKRCDEGJBF00015867";1;2004;2;43;"S";13;470;467;"4";"1";1;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;200;200
"TQRMNOQYRHLOKRCDEGJBF00015868";1;2004;2;43;"S";13;470;628;"1";"3";1;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;0;6;450;75
"TQRMNORSQHLOKRCDEGJBF00015869";1;2004;2;43;"S";13;470;535;"1";"1";1;1;1;6;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;150;37.5
"TQTMNORSQHLOKRCDEGJBF00015871";2;2004;2;43;"S";13;470;476;"9";"4";1;1;1;6;2;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;600;600
"TQRMNORWRHLOKRCDEGJBF00015872";1;2004;2;43;"S";13;470;455;"1";"1";1;1;1;6;2;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;2;6;150;18.75
"TQUMNORSQHLOKRCDEGJBF00146684";1;2004;2;43;"S";13;470;432;"1";"1";1;1;1;2;2;3;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;200;66.67
"TQRMNOWSTHLPKQCDEGJBF00015905";1;2004;2;43;"S";13;744;898;"2";"2";1;2;2;1;2;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;350;116.67
"TQRMNOXTXHLPKQCDEGJBF00015906";1;2004;2;43;"S";13;744;656;"3";"2";1;1;1;2;3;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;280;140
"TQRMNOXXSHLPKQCDEGJBF00146687";1;2004;2;43;"S";13;744;674;"1";"1";1;1;1;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;40;40
"TQRMNOQYQHLPKQCDEGJBF00015899";1;2004;2;43;"S";13;744;777;"3";"1";1;3;2;1;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;250;125
"TQRMNOSTQHLPKQCDEGJBF00015900";1;2004;2;43;"S";13;744;727;"2";"5";1;3;2;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;5;630;90
"TQRMNOUPYHLPKQCDEGJBF00015902";1;2004;2;43;"S";13;744;755;"4";"4";1;4;1;6;4;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;600;200
"TQRMNOUPYHLPKQCDEGJBF00015902";2;2004;2;43;"S";13;744;728;"1";"4";1;4;3;1;4;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;15;5;10;520;34.67
"TQRMNOVPYHLPKQCDEGJBF00015903";1;2004;2;43;"S";13;744;751;"2";"3";1;2;1;1;2;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;475;118.75
"TQRMNOVYQHLPKQCDEGJBF00015904";1;2004;2;43;"S";13;744;745;"3";"7";1;3;2;2;2;1;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;1;5;970;161.67
"TQRMNOQPSHJNKOCDEGJBF00146537";1;2004;2;43;"S";13;409;0;"12";"12";1;3;3;8;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;6;0;6;0;0
"TQRMNORRYHJNKOCDEGJBF00146538";1;2004;2;43;"S";13;409;0;"12";"12";1;2;2;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;0;0
"TQRMNOPVSHMMLLCDEGJBF00022766";1;2004;2;43;"S";13;438;0;"12";"12";1;3;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;0
"TQRMNOPTUHMMLLCDEGJBF00022765";1;2004;2;43;"S";13;438;498;"7";"5";1;2;1;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;2;700;350
"TQRMNORYQHMMLLCDEGJBF00022770";1;2004;2;43;"S";13;438;0;"12";"12";1;3;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;0
"TQRMNOQYYHMMLLCDEGJBF00022768";1;2004;2;43;"S";13;438;0;"12";"12";1;4;3;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;2;3;0;0
"TQRMNOQSUHMMLLCDEGJBF00022767";1;2004;2;43;"S";13;438;478;"3";"5";1;4;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;3;2;700;140
"TQRMNOSSVHMMLLCDEGJBF00146698";1;2004;2;43;"S";13;438;0;"12";"12";1;5;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;2;4;0;0
"TQRMNORURHMMLLCDEGJBF00022769";2;2004;2;43;"S";13;438;0;"12";"12";1;2;2;3;1;1;1;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;2;1;1;2;2;2;3;1;2;0;0
"TQRMNORWSHJNKOCDEGJBF00146539";1;2004;2;43;"S";13;409;514;"1";"2";1;3;3;3;2;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;8;2;6;300;37.5
"TQRMNOSQTHJNKOCDEGJBF00146540";1;2004;2;43;"S";13;409;510;"8";"3";1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;450;450
"TQSMNOSQTHJNKOCDEGJBF00146541";1;2004;2;43;"S";13;409;492;"00";"00";1;1;1;6;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;0;0
"TQRMNOTPRHJNKOCDEGJBF00146543";1;2004;2;43;"S";13;409;492;"1";"2";1;3;3;1;4;1;1;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;1;2;2;2;6;1;5;352;58.67
"TQRMNOPTYHJPKOCDEGJBF00146616";1;2004;2;43;"S";13;382;432;"7";"5";1;3;1;1;2;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;700;350
"TQRMNOSWXHJPKOCDEGJBF00146625";1;2004;2;43;"S";13;382;0;"12";"12";1;4;2;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;0
"TQRMNOQWUHJPKOCDEGJBF00146620";1;2004;2;43;"S";13;382;441;"7";"7";1;2;2;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1100;366.67
"TQRMNORQTHJPKOCDEGJBF00146621";1;2004;2;43;"S";13;382;355;"4";"1";1;1;1;3;2;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;1;0;1;170;170
"TQRMNORUTHJPKOCDEGJBF00146622";1;2004;2;43;"S";13;382;506;"3";"7";1;2;2;3;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;1;2;2;2;8;2;6;1060;132.5
"TQSMNOQSUHJPKOCDEGJBF00146619";1;2004;2;43;"S";13;382;407;"8";"3";1;1;1;4;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;445;445
"TQRMNOPYSHJPKOCDEGJBF00146617";1;2004;2;43;"S";13;382;0;"12";"12";1;2;1;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;0
"TQRMNOSQTHKNKTCDEGJBF00022615";1;2004;2;43;"S";13;395;560;"6";"8";1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;4;0;4;1200;300
