PP04B_COD,codigo
"8102",14,"N. Actividades administrativas y servicios de apoyo."
"82",14,"N. Actividades administrativas y servicios de apoyo."
"8200",14,"N. Actividades administrativas y servicios de apoyo."
"84",15
"8401",15
"8402",15
"85",16
"8501",16
"8502",16
"8509",16
"86",17
"8600",17
"87",17
"8700",17
"88",17
"8800",17
"90",18
"9000",18
"91",18
"9100",18
"92",18
"9200",18
"93",18
"9301",18
"9302",18
"94",19
"9401",19
"9402",19
"9409",19
"95",19
"9501",19
"9502",19
"9503",19
"96",19
"9601",19
"9602",19
"9603",19
"9609",19
"97",20
"9700",20
"99",21
"9900",21
"9999",22

rama_caes==1 ~ "A. Agricultura, caza, silvicultura y pesca.",
rama_caes==2 ~ "B. Explotación de minas y canteras.",
rama_caes==3 ~ "C. Industria Manufacturera.",
rama_caes==4 ~ "D. Suministro de electricidad, gas, vapor y aire acondicionado.",
rama_caes==5 ~ "E. Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento.",
rama_caes==6 ~ "F. Construcción.",
rama_caes==7 ~ "G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.",
rama_caes==8 ~ "H. Transporte y almacenamiento.",
rama_caes==9 ~ "I. Alojamiento y servicios de comidas.",
rama_caes==10 ~ "J. Información y comunicación.",
rama_caes==11 ~ "K. Actividades financieras y de seguros.",
rama_caes==12 ~ "L. Actividades inmobiliarias.",
rama_caes==13 ~ "M. Actividades profesionales, científicas y ténicas.",
rama_caes==14 ~ "N. Actividades administrativas y servicios de apoyo.",
rama_caes==15 ~ "O --> Admonistración pública y defensa; planes de seguro social obligat|io.",
rama_caes==16 ~ "P --> Enseñanza.",
rama_caes==17 ~ "Q --> Salud humana y servicios sociales.",
rama_caes==18 ~ "R --> Artes, entretenimiento y recreación.",
rama_caes==19 ~ "S -->Otras actividades de servicios.",
rama_caes==20 ~ "T --> Actividades de los hogares como emplead|es de personal doméstico; actividades de los hogares como product|es de bienes o servicios para uso propio.",
rama_caes==21 ~ "U --> Actividades de |ganizaciones y |ganismos extraterrit|iales.",
rama_caes==22 ~ "V-Z --> Descripción de Actividad Vacía / Actividad no Especificada claramente."))
