NOMBRE,PRESENTACION,LABORATORIO,BAJA,VIGENCIA,FECHA,PRECIO,DROGA,DROGAS25,DROGAS25EXT,POTENCIA,UPOTENCIA,UNIDADES,TIPOUNIDAD,FORMA,VARIEDAD_REV,VARIEDAD_COUNT,VARIEDAD_COD,VARIEDAD_DES,REMEDIAR,LABSEL,TIPO_DE_VENTA,IMPORTADO,TIPOAGRUPA,MARCAAGRUPA,D_MARCA_CONTROLADO,D_TAMANO,D_PAMI,C_PAMI,C_LABORATORIO,C_BARRA,C_TAMANO,C_ACCION,C_DROGA,C_FORMA,C_UPOTENCI,C_TIPOUNID,C_VIA,SNOMED,GTIN1,TROQUEL,ACCION,VIA,CLAVE,PRECIOPAMI,categoria_busqueda,query
ANDROLONE,gel pomo x 15 g + aplic.,Beta,0,1,21/04/2026,62930,testosterona,,,,g %,1,unidades de 15 g,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Bajo Receta Archivada,Nacional,Venta Vigilada y Succinilcolina, ,VENTA VIGILADA,MENOR,50% de descuento,2,00032,7795328054332,001,00492,08580,00004,undefined,00047,00014, ,7795328054332,4909704,Androgenoterapia,transdermal,63403,49080,testosterona_gel,testosterona
NEBIDO,1000 mg vial x 1 x 4 ml,Bayer (PH),0,1,08/05/2026,275466,testosterona,,,,mg/ml,1,unidades de 4 ml,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,,0, , ,,,Venta Bajo Receta Archivada,Importado,Venta Vigilada y Succinilcolina, ,VENTA VIGILADA,MENOR,50% de descuento,2,00214,7795320052084,001,00492,08580,00003,undefined,00022,00003,294151000221107,07795320052084,5361972,Androgenoterapia,inyectable IM,56782,158600,testosterona_gel,testosterona
ANDROLONE,gel sob.x 30 x 5 g,Beta,0,1,21/04/2026,102958,testosterona,,,,g %,30,unidades de 5 g,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Bajo Receta Archivada,Nacional,Venta Vigilada y Succinilcolina, ,VENTA VIGILADA,MENOR,50% de descuento,2,00032,7795328054325,001,00492,08580,00004,undefined,00016,00014,260171000221109,07795328054325,4909702,Androgenoterapia,transdermal,34309,84232,testosterona_gel,testosterona
CICATRICURE NEURO-ZEN,crema x 50 g,Genomma Lab.,0,1,07/05/2026,36900,melatonina,,,,No Clasificada,1,unidades de 50 g,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Libre,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00715,650240072215,001,01112,00268,00004,undefined,00058,00009, ,650240072215, ,Anti Edad,uso externo,63152,0,melatonina,melatonina
SERUM NEUROZEN,sérum x 30 ml,Genomma Lab.,0,1,07/05/2026,36900,melatonina,,,,No Clasificada,1,unidades de 30 ml,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Libre,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00715,650240077111,001,01127,00268,00004,undefined,00048,00002, ,650240077111, ,Producto Cosmético,oral,63880,0,melatonina,melatonina
ARMONIL NOCHE,3 mg comp.x 15,Teva Argentina,0,1,08/05/2026,7607,melatonina,,,,mg,15,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00518,7795326011399,001,00212,00268,00054,undefined,00005,00002,509031000221108,07795326011399, ,Regulador sueño-vigilia,oral,61487,0,melatonina,melatonina
MELATOL,3 mg comp.ran.x 15,Laboratorio Gramon,0,1,05/05/2026,8470,melatonina,,,,mg,15,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00763,7791984999543,001,00212,00268,00054,undefined,00005,00002,208441000221109,07791984999543, ,Regulador sueño-vigilia,oral,30811,0,melatonina,melatonina
MELATRIX,3 mg comp.x 20,Rospaw,0,1,30/04/2026,6783,melatonina,,,,mg,20,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00651,7798118060513,001,00212,00268,00054,undefined,00005,00002,220941000221106,07798118060513, ,Regulador sueño-vigilia,oral,52503,0,melatonina,melatonina
ARMONIL NOCHE LIBERACION PROLONGADA,comp.x 21,Teva Argentina,0,1,08/05/2026,13302,melatonina,,,,No Clasificada,21,unidades,Cáps./Comp. de Liberación Controlada,,0, , ,,,Venta Libre,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00518,7795326209673,001,00212,00268,00073,undefined,00005,00002, ,07795326209673, ,Regulador sueño-vigilia,oral,62577,0,melatonina,melatonina
HASTA MAÑANA,3 mg comp.x 30,Provefarma,0,1,26/02/2026,9870,melatonina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00662,7798119969785,001,00619,00268,00054,undefined,00005,00002, ,7798119969785, ,Inductor del sueño,oral,64158,0,melatonina,melatonina
BUENAS NOCHES,comp.x 30,ISA,0,1,07/04/2026,12600,melatonina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00372,7790839980033,001,00212,00268,00054,undefined,00005,00002,206941000221101,07790839980033, ,Regulador sueño-vigilia,oral,27503,0,melatonina,melatonina
ARMONIL NOCHE,3 mg comp.x 30,Teva Argentina,0,1,08/05/2026,14892,melatonina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00518,7795326003776,001,00212,00268,00054,undefined,00005,00002,174441000221105,07795326003776, ,Regulador sueño-vigilia,oral,34283,0,melatonina,melatonina
MELATOL,3 mg comp.ran.x 30,Laboratorio Gramon,0,1,05/05/2026,16521,melatonina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,SIGUIENTE,Sin informacion (Sin descuento),0,00763,7791984999550,002,00212,00268,00054,undefined,00005,00002,208431000221102,07791984999550, ,Regulador sueño-vigilia,oral,21198,0,melatonina,melatonina
MELATOL,3 mg cáps.x 30,Laboratorio Gramon,0,1,05/05/2026,16521,melatonina,,,,mg,30,unidades,Cápsulas/Softgels,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00763,7791984999574,001,00212,00268,00002,undefined,00005,00002,208081000221109,07791984999574, ,Regulador sueño-vigilia,oral,16666,0,melatonina,melatonina
CIRCADIN,2 mg comp.lib.prol.x 30,Biopas Argentina,0,1,06/05/2026,71136,melatonina,,,,mg,30,unidades,Cáps./Comp. de Liberación Controlada,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00823,7798260150162,001,00212,00268,00073,undefined,00005,00002,231571000221103,07798260150162,6370392,Regulador sueño-vigilia,oral,53837,0,melatonina,melatonina
MELATOL,3 mg comp.ran.x 60,Laboratorio Gramon,0,1,05/05/2026,30249,melatonina,,,,mg,60,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,GIGANTE,Sin informacion (Sin descuento),0,00763,7791984999567,004,00212,00268,00054,undefined,00005,00002,208421000221100,07791984999567, ,Regulador sueño-vigilia,oral,21199,0,melatonina,melatonina
MELATOL,3 mg cáps.x 60,Laboratorio Gramon,0,1,05/05/2026,30249,melatonina,,,,mg,60,unidades,Cápsulas/Softgels,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE + DE 2 PRES.),Sin informacion (Sin descuento),0,00763,7791984999581,005,00212,00268,00002,undefined,00005,00002,208091000221107,07791984999581, ,Regulador sueño-vigilia,oral,17781,0,melatonina,melatonina
MELATOL PLUS,comp.x 20,Laboratorio Gramon,0,1,05/05/2026,16310,melatonina+asoc.,,,,No Clasificada,20,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00763,7791984999826,001,00619,00767,00054,undefined,00005,00002,237251000221102,07791984999826, ,Inductor del sueño,oral,47673,0,melatonina,melatonina
MELATOL PLUS,comp.x 30,Laboratorio Gramon,0,1,05/05/2026,23627,melatonina+asoc.,,,,No Clasificada,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00763,7791984999819,003,00619,00767,00054,undefined,00005,00002,237261000221100,07791984999819, ,Inductor del sueño,oral,47674,0,melatonina,melatonina
TANVIMIL ISOFLAVONAS CALCIO D3,comp.x 30,Megalabs Argentina,0,1,04/05/2026,22618,"calcio,citrato+vit.d3+isoflavon.",,,,No Clasificada,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00193,7791763337894,001,00346,10365,00054,undefined,00005,00002, ,7791763337894, ,Suplemento dietario,oral,37998,0,isoflavonas,isoflavonas
TANVIMIL ISOFLAVONAS DUO,comp.rec.x 30,Megalabs Argentina,1,1,02/03/2026,9823,hipérico+soja isoflavonas,,,,No Clasificada,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00193,7791763000859,001,00264,11051,00054,undefined,00005,00002,237371000221103,07791763000859,6150001,Timoléptico,oral,47938,0,isoflavonas,isoflavonas
TANVIMIL ISOFLAVONAS DUO,comp.rec.x 60,Megalabs Argentina,1,1,02/03/2026,16439,hipérico+soja isoflavonas,,,,No Clasificada,60,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00193,7791763000866,003,00264,11051,00054,undefined,00005,00002,237381000221100,07791763000866,6150002,Timoléptico,oral,47939,0,isoflavonas,isoflavonas
TANVIMIL ISOFLAVONAS CREM,cr.x 50 ml,Megalabs Argentina,0,1,04/05/2026,31921,isoflavonas de soja,,,,No Clasificada,1,unidades de 50 ml,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00193,7791763003065,001,00641,01353,00004,undefined,00024,00009, ,7791763003065, ,Hidratante dérmico,uso externo,35394,0,isoflavonas,isoflavonas
TANVIMIL GEL,pomo x 20 g,Megalabs Argentina,0,1,04/05/2026,8243,isoflavonas de soja+asoc.,,,,No Clasificada,1,unidades de 20 g,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00193,7791763337917,001,00237,10017,00004,undefined,00045,00009,311971000221105,07791763337917,5349422,Lubricante vaginal,uso externo,39154,0,isoflavonas,isoflavonas
TANVIMIL GEL,pomo x 60 g,Megalabs Argentina,0,1,04/05/2026,13845,isoflavonas de soja+asoc.,,,,No Clasificada,1,unidades de 60 g,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00193,7791763003058,003,00237,10017,00004,undefined,00051,00009,311981000221108,07791763003058,5349426,Lubricante vaginal,uso externo,36706,0,isoflavonas,isoflavonas
ALOEBEL REDENSIFICANTE,sérum cr.x 30 ml,Fortbenton,0,1,27/04/2026,46272,isoflavonas de soja+asoc.,,,,No Clasificada,1,unidades de 30 ml,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00099,7794428004728,001,00412,10017,00004,undefined,00048,00009, ,7794428004728, ,Dermatocosméticos,uso externo,55589,0,isoflavonas,isoflavonas
ISOFLAVONAS DE SOJA+CALCIO 600 GARDEN HOUSE,comp.x 20,Garden House Argentina,0,1,24/04/2026,11220,isoflavonas de soja+asoc.,,,,No Clasificada,20,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00303,7798023941198,001,00346,10017,00054,undefined,00005,00002, ,7798023941198, ,Suplemento dietario,oral,61808,0,isoflavonas,isoflavonas
ISOFLAVONAS VITAMIN WAY,cáps.x 30,Pharmamerican S.R.L.,0,1,28/03/2026,6521,isoflavonas de soja+asoc.,,,,No Clasificada,30,unidades,Cápsulas/Softgels,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00719,7798008293885,001,00346,10017,00002,undefined,00005,00002, ,7798008293885, ,Suplemento dietario,oral,53022,0,isoflavonas,isoflavonas
TANVIMIL ISOFLAVONAS,comp.rec.x 30,Megalabs Argentina,0,1,04/05/2026,23987,isoflavonas de soja+asoc.,,,,No Clasificada,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00193,7791763337863,001,00346,10017,00054,undefined,00005,00002, ,7791763337863, ,Suplemento dietario,oral,32809,0,isoflavonas,isoflavonas
ISOFLAVONAS + CALCIO,comp.x 60,Provefarma,0,1,26/02/2026,13781,isoflavonas de soja+asoc.,,,,No Clasificada,60,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00662,7798119960218,001,00346,10017,00054,undefined,00005,00002, ,7798119960218, ,Suplemento dietario,oral,47238,0,isoflavonas,isoflavonas
ISOFLAVONAS DE SOJA+CALCIO 600 GARDEN HOUSE,comp.x 60,Garden House Argentina,0,1,24/04/2026,27990,isoflavonas de soja+asoc.,,,,No Clasificada,60,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00303,7798023940542,003,00346,10017,00054,undefined,00005,00002, ,7798023940542, ,Suplemento dietario,oral,31562,0,isoflavonas,isoflavonas
TANVIMIL ISOFLAVONAS,comp.rec.x 60,Megalabs Argentina,0,1,04/05/2026,43474,isoflavonas de soja+asoc.,,,,No Clasificada,60,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Libre,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00193,7791763337870,003,00346,10017,00054,undefined,00005,00002, ,7791763337870, ,Suplemento dietario,oral,34554,0,isoflavonas,isoflavonas
PAUSAFREN T,comp.x 40,Finadiet,0,1,28/04/2026,32743,beta-alanina+oxazepam,,,,mg,40,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,GRANDE (DE 2 PRES.),50% de descuento,2,00095,7791171100592,003,00187,01170,00054,undefined,00005,00002,244271000221100,07791171100592,295635,Ansiolítico,oral,23427,20702,oxazepam,oxazepam
INSERTEC 25,25 mg comp.ran.x 30,Baliarda,0,1,27/04/2026,12628,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00023,7795338014739,001,00185,00245,00054,undefined,00005,00002,254101000221104,07795338014739,5024483,Antidepresivo,oral,34572,10206,sertralina,sertralina
ATENIX,25 mg comp.ran.x 30,Raffo,0,1,17/04/2026,13289,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00192,7798084680067,001,00185,00245,00054,undefined,00005,00002,212401000221107,07798084680067,4695111,Antidepresivo,oral,26875,11316,sertralina,sertralina
VUNOT,50 mg comp.x 30,Medipharma,0,1,06/02/2026,25436,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00119,7798030238830,001,00185,00245,00054,undefined,00005,00002,133791000221106,07798030238830,5258823,Antidepresivo,oral,37117,24176,sertralina,sertralina
SERTRALINA CEVALLOS,50 mg comp.x 30,Laboratorios Frasca,0,1,18/04/2026,25500,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,Sin informacion (Sin descuento),0,00282,7798425360160,001,00185,00245,00054,undefined,00005,00002,143141000221100,07798066761036,5327841,Antidepresivo,oral,36285,0,sertralina,sertralina
SERVANTAX,50 mg comp.x 30,Vannier,0,1,08/05/2026,27944,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00328,7795372459206,001,00185,00245,00054,undefined,00005,00002,137211000221101,07795372459206,504796,Antidepresivo,oral,39248,24913,sertralina,sertralina
SERTRALINA ROSPAW,50 mg comp.x 30,Rospaw,0,1,30/04/2026,28406,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00651,7798118063156,001,00185,00245,00054,undefined,00005,00002,149591000221100,07798118063156,5741421,Antidepresivo,oral,43218,27849,sertralina,sertralina
STRALINA,50 mg comp.x 30,PharmaDorf,0,1,04/05/2026,28759,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,Sin informacion (Sin descuento),0,00600,7798021294623,001,00185,00245,00054,undefined,00005,00002,206781000221107,07798021294623, ,Antidepresivo,oral,54899,0,sertralina,sertralina
DIMENA,50 mg comp.x 30,Lepetit,0,1,13/04/2026,30150,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00140,7798112991455,001,00185,00245,00054,undefined,00005,00002,172751000221108,07798112991455,6010971,Antidepresivo,oral,51567,14936,sertralina,sertralina
ZOXX 50,50 mg comp.rec.x 30,Casasco,0,1,27/04/2026,30304,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00045,7791909123053,001,00185,00245,00054,undefined,00005,00002,147201000221100,07791909123053,5684134,Antidepresivo,oral,40791,28923,sertralina,sertralina
SERLINA,50 mg comp.x 30,Rontag,0,1,01/05/2026,30321,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00200,7798239770360,001,00185,00245,00054,undefined,00005,00002,510681000221105,07798239770360,5138573,Antidepresivo,oral,32727,29324,sertralina,sertralina
ASERTRAL,50 mg comp.ran.x 30,Roemmers,0,1,27/04/2026,30334,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00203,7795345000565,001,00185,00245,00054,undefined,00005,00002,160381000221107,07795345000565,6022006,Antidepresivo,oral,46293,27380,sertralina,sertralina
INSERTEC 50,50 mg comp.ran.x 30,Baliarda,0,1,27/04/2026,30466,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00023,7795338013756,001,00185,00245,00054,undefined,00005,00002,246921000221102,07795338013756,4887933,Antidepresivo,oral,28347,27110,sertralina,sertralina
IRRADIAL,50 mg comp. rec.x 30,Teva Argentina,0,1,13/04/2026,31180,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00518,7795326011313,001,00185,00245,00054,undefined,00005,00002,464351000221106,07795326011313,6609393,Antidepresivo,oral,60931,16917,sertralina,sertralina
CADILER,50 mg comp.ran.x 30,Montpellier,0,1,30/04/2026,31580,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,Sin informacion (Sin descuento),0,00162,7795378006558,001,00185,00245,00054,undefined,00005,00002, ,07795378006558,6765680,Antidepresivo,oral,62093,0,sertralina,sertralina
BICROMIL,50 mg comp.x 30,Cetus,0,1,30/04/2026,32481,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00048,7795330000549,001,00185,00245,00054,undefined,00005,00002,126741000221108,07795330000549,4479972,Antidepresivo,oral,23735,32481,sertralina,sertralina
PSICOTIL,50 mg comp.rec.x 30,Beta,0,1,21/04/2026,32572,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,Sin informacion (Sin descuento),0,00032,7795328052161,001,00185,00245,00054,undefined,00005,00002,354091000221104,07795328052161,6561841,Antidepresivo,oral,56795,0,sertralina,sertralina
ATENIX,50 mg comp.ran.x 30,Raffo,0,1,17/04/2026,34636,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00192,7798084680081,001,00185,00245,00054,undefined,00005,00002,141651000221105,07798084680081,3607432,Antidepresivo,oral,19916,31050,sertralina,sertralina
ZOLOFT,50 mg tab.ran.x 30,Aspen Pharma,0,1,05/05/2026,35765,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00914,7795381407106,001,00185,00245,00054,undefined,00005,00002,122251000221100,07795381407106,4071071,Antidepresivo,oral,17683,33307,sertralina,sertralina
SERTRALINA CEVALLOS,100 mg comp.x 30,Laboratorios Frasca,0,1,18/04/2026,43950,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,Sin informacion (Sin descuento),0,00282,7798425360375,001,00185,00245,00054,undefined,00005,00002,143111000221104,07798066761043,5328001,Antidepresivo,oral,36286,0,sertralina,sertralina
STRALINA,100 mg comp.x 30,PharmaDorf,0,1,04/05/2026,48978,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,Sin informacion (Sin descuento),0,00600,7798369791471,001,00185,00245,00054,undefined,00005,00002, ,07798369791471, ,Antidepresivo,oral,61643,0,sertralina,sertralina
DIMENA,100 mg comp.x 30,Lepetit,0,1,13/04/2026,51060,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00140,7798112991462,001,00185,00245,00054,undefined,00005,00002,199651000221101,07798112991462,6011001,Antidepresivo,oral,51568,24643,sertralina,sertralina
INSERTEC 100,100 mg comp.ran.x 30,Baliarda,0,1,27/04/2026,51348,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00023,7795338014302,001,00185,00245,00054,undefined,00005,00002,252711000221106,07795338014302,4888003,Antidepresivo,oral,28348,43753,sertralina,sertralina
PSICOTIL,100 mg comp.rec.x 30,Beta,0,1,21/04/2026,51420,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,Sin informacion (Sin descuento),0,00032,7795328052178,001,00185,00245,00054,undefined,00005,00002,354081000221102,07795328052178, ,Antidepresivo,oral,56796,0,sertralina,sertralina
ZOXX 100,100 mg comp.rec.x 30,Casasco,0,1,27/04/2026,51516,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00045,7791909123114,001,00185,00245,00054,undefined,00005,00002,147221000221107,07791909123114,5684264,Antidepresivo,oral,40792,48605,sertralina,sertralina
SERLINA,100 mg comp.x 30,Rontag,0,1,01/05/2026,51522,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00200,7798239770377,001,00185,00245,00054,undefined,00005,00002,510671000221107,07798239770377,5138623,Antidepresivo,oral,32728,49828,sertralina,sertralina
ASERTRAL,100 mg comp.ran.x 30,Roemmers,0,1,27/04/2026,51523,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,50% de descuento,2,00203,7795345000572,001,00185,00245,00054,undefined,00005,00002,161341000221106,07795345000572,6022136,Antidepresivo,oral,46294,40952,sertralina,sertralina
SERVANTAX,100 mg comp.x 30,Vannier,0,1,08/05/2026,52322,sertralina,,,,mg,30,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta Archivada,Nacional,No controlado, ,PSICOTROPICO IV,MENOR,Sin informacion (Sin descuento),0,00328,7795372459237,001,00185,00245,00054,undefined,00005,00002,137241000221102,07795372459237,504809,Antidepresivo,oral,39249,0,sertralina,sertralina
